airline,date,sentiment,pk
iberia,2017-10-25,negative,163
iberia,2017-11-24,negative,164
iberia,2017-11-27,negative,165
other,2017-12-14,neutral,166
iberia,2017-12-14,neutral,167
iberia,2017-12-23,positive,168
other,2017-12-06,positive,169
other,2017-12-06,positive,170
other,2017-12-06,positive,171
iberia,2017-12-06,positive,172
iberia,2017-12-30,negative,173
other,2017-12-26,negative,174
iberia,2017-12-26,negative,175
iberia,2017-12-26,negative,176
ryanair,2017-11-23,neutral,177
iberia,2017-11-30,neutral,178
other,2017-12-18,negative,179
other,2018-01-02,negative,180
other,2018-01-02,negative,181
other,2018-01-02,negative,182
other,2018-01-02,negative,183
other,2018-01-02,negative,184
ryanair,2018-01-02,negative,185
other,2017-11-21,negative,186
iberia,2017-11-21,negative,187
iberia,2017-11-21,negative,188
other,2017-12-23,negative,189
iberia,2018-01-08,negative,190
other,2017-11-25,negative,191
other,2017-11-04,neutral,192
iberia,2017-11-04,neutral,193
other,2017-11-04,neutral,194
other,2017-11-04,neutral,195
other,2017-12-31,negative,196
other,2017-12-31,negative,197
iberia,2017-11-02,neutral,198
iberia,2017-11-02,neutral,199
ryanair,2018-01-03,neutral,200
iberia,2017-11-22,positive,201
iberia,2017-12-27,negative,202
iberia,2017-11-25,neutral,203
aeromexico,2017-12-21,negative,204
iberia,2017-11-30,negative,205
iberia,2017-11-07,negative,206
other,2017-11-22,negative,207
iberia,2017-11-27,positive,208
other,2017-11-04,negative,209
other,2017-11-04,negative,210
iberia,2018-01-05,neutral,211
other,2018-01-05,neutral,212
iberia,2017-11-03,negative,213
iberia,2017-12-13,negative,214
iberia,2017-12-13,negative,215
iberia,2017-11-23,negative,216
other,2018-01-03,negative,217
other,2018-01-03,negative,218
other,2018-01-03,negative,219
iberia,2017-11-05,negative,220
ryanair,2017-11-23,neutral,221
iberia,2017-11-30,negative,222
iberia,2017-11-30,negative,223
vueling,2018-01-03,neutral,224
iberia,2017-11-04,negative,225
other,2017-11-04,negative,226
iberia,2017-12-24,negative,227
iberia,2017-11-06,negative,228
iberia,2017-11-28,positive,229
iberia,2017-12-03,negative,230
other,2017-12-01,neutral,231
iberia,2017-12-01,neutral,232
iberia,2017-12-29,negative,233
other,2017-10-27,negative,234
other,2017-11-03,neutral,235
iberia,2017-11-03,neutral,236
iberia,2017-11-24,negative,237
iberia,2017-11-24,negative,238
other,2018-01-02,positive,239
iberia,2017-12-31,positive,240
iberia,2017-12-31,positive,241
airnostrum,2017-12-31,positive,242
aireuropa,2017-12-31,positive,243
aena,2017-11-05,neutral,244
ryanair,2017-11-05,neutral,245
norwegian,2017-11-05,neutral,246
easyjet,2017-11-05,neutral,247
vueling,2017-11-05,neutral,248
other,2018-01-02,neutral,249
iberia,2017-11-23,negative,250
other,2017-12-22,negative,251
iberia,2017-12-22,negative,252
iberia,2017-12-24,negative,253
iberia,2017-12-24,negative,254
other,2017-12-24,negative,255
iberia,2017-11-20,positive,256
other,2017-11-20,positive,257
other,2017-12-22,neutral,258
other,2017-12-22,neutral,259
iberia,2017-12-22,neutral,260
other,2017-12-22,neutral,261
iberia,2017-12-03,positive,262
iberia,2017-12-19,negative,263
ryanair,2017-11-06,negative,264
iberia,2017-10-26,positive,265
iberia,2017-12-15,negative,266
other,2018-01-01,positive,267
iberia,2018-01-01,positive,268
ryanair,2017-12-19,negative,269
other,2017-12-19,negative,270
other,2017-12-19,negative,271
other,2017-12-19,negative,272
ryanair,2017-12-19,negative,273
iberia,2017-11-30,neutral,274
iberia,2017-11-24,neutral,275
other,2017-12-13,positive,276
iberia,2017-12-27,negative,277
other,2017-11-04,positive,278
other,2017-12-03,negative,279
iberia,2017-11-23,negative,280
iberia,2017-11-27,neutral,281
other,2017-11-27,neutral,282
iberia,2017-11-15,neutral,283
ryanair,2018-01-02,neutral,284
other,2017-11-29,negative,285
other,2017-11-29,negative,286
iberia,2017-11-29,negative,287
iberia,2017-11-29,negative,288
other,2017-11-29,negative,289
iberia,2017-12-24,neutral,290
other,2017-11-30,neutral,291
other,2017-11-30,neutral,292
other,2017-12-02,neutral,293
other,2017-12-02,neutral,294
iberia,2017-12-02,neutral,295
other,2017-12-02,neutral,296
ryanair,2017-10-30,neutral,297
other,2017-11-28,negative,298
other,2017-11-28,negative,299
iberia,2017-11-28,negative,300
other,2017-12-12,negative,301
other,2017-12-12,negative,302
iberia,2017-12-12,negative,303
iberia,2017-12-12,negative,304
iberia,2017-12-13,neutral,305
iberia,2017-12-18,negative,306
vueling,2017-12-18,negative,307
iberia,2017-11-16,negative,308
iberia,2017-10-25,negative,309
other,2017-12-13,neutral,310
iberia,2017-11-30,negative,311
other,2017-12-12,negative,312
other,2017-12-12,negative,313
other,2017-12-12,negative,314
other,2017-12-12,negative,315
iberia,2017-12-25,positive,316
iberia,2017-12-31,negative,317
iberia,2017-11-25,positive,318
iberia,2018-01-03,neutral,319
other,2017-12-01,neutral,320
iberia,2017-12-13,neutral,321
iberia,2017-12-14,negative,322
other,2017-11-04,negative,323
other,2017-11-04,negative,324
other,2017-12-26,neutral,325
ryanair,2017-12-26,neutral,326
iberia,2017-12-26,neutral,327
other,2017-12-19,positive,328
iberia,2017-12-19,positive,329
other,2017-12-28,negative,330
vueling,2017-11-21,neutral,331
iberia,2017-11-21,neutral,332
other,2017-11-15,positive,333
other,2017-11-15,positive,334
other,2017-11-15,positive,335
iberia,2017-11-15,positive,336
iberia,2017-11-14,negative,337
other,2017-12-16,neutral,338
other,2017-11-17,negative,339
iberia,2017-11-17,negative,340
iberia,2017-11-17,negative,341
iberia,2017-11-20,neutral,342
iberia,2017-12-14,negative,343
iberia,2017-11-06,negative,344
iberia,2018-01-03,negative,345
iberia,2018-01-03,negative,346
iberia,2017-11-28,negative,347
iberia,2017-11-28,negative,348
iberia,2017-12-26,negative,349
other,2017-12-26,negative,350
iberia,2017-11-07,negative,351
ryanair,2017-12-28,negative,352
iberia,2017-12-06,negative,353
other,2017-12-06,negative,354
avianca,2017-12-06,negative,355
iberia,2017-11-05,neutral,356
ryanair,2017-11-21,negative,357
other,2017-12-26,positive,358
other,2017-12-26,positive,359
other,2017-12-26,positive,360
iberia,2017-12-26,positive,361
airnostrum,2017-12-26,positive,362
other,2017-12-26,positive,363
other,2017-12-26,positive,364
other,2017-12-26,positive,365
other,2017-12-26,positive,366
other,2017-10-25,positive,367
iberia,2017-12-05,neutral,368
iberia,2017-11-26,negative,369
other,2017-11-26,negative,370
other,2017-11-26,negative,371
iberia,2017-12-18,negative,372
iberia,2017-12-18,negative,373
iberia,2017-11-25,positive,374
other,2017-10-26,neutral,375
iberia,2017-10-25,negative,376
iberia,2017-11-27,positive,377
iberia,2017-12-28,positive,378
iberia,2017-12-01,neutral,379
iberia,2017-12-28,neutral,380
iberia,2017-11-04,negative,381
other,2017-11-04,negative,382
other,2017-11-06,negative,383
other,2017-11-06,negative,384
other,2017-11-23,neutral,385
iberia,2017-11-24,neutral,386
other,2017-11-24,neutral,387
iberia,2017-11-22,negative,388
iberia,2017-12-22,negative,389
other,2017-12-28,neutral,390
iberia,2017-12-14,negative,391
other,2017-12-19,negative,392
iberia,2017-12-19,negative,393
iberia,2017-12-05,negative,394
iberia,2017-12-13,negative,395
iberia,2017-12-27,negative,396
iberia,2017-11-27,negative,397
other,2017-11-04,positive,398
ryanair,2017-12-17,negative,399
other,2017-12-16,positive,400
iberia,2017-11-15,negative,401
iberia,2017-12-15,negative,402
iberia,2017-11-06,positive,403
iberia,2017-11-05,negative,404
iberia,2017-12-27,negative,405
iberia,2017-12-27,negative,406
iberia,2017-12-17,neutral,407
other,2017-12-17,neutral,408
iberia,2017-12-17,neutral,409
other,2017-12-19,negative,410
iberia,2017-12-12,negative,411
ryanair,2017-11-23,neutral,412
ryanair,2017-12-18,negative,413
iberia,2017-12-04,negative,414
other,2017-12-16,neutral,415
other,2017-12-16,neutral,416
other,2017-12-15,negative,417
other,2017-11-29,negative,418
other,2017-11-29,negative,419
other,2017-11-29,negative,420
other,2017-11-26,neutral,421
other,2017-11-26,neutral,422
iberia,2017-11-26,neutral,423
other,2017-11-26,neutral,424
other,2017-11-26,neutral,425
other,2017-11-26,neutral,426
other,2017-11-26,neutral,427
other,2017-11-26,neutral,428
other,2017-12-30,negative,429
other,2017-12-30,negative,430
iberia,2017-12-30,negative,431
ryanair,2017-12-13,negative,432
iberia,2017-12-13,negative,433
iberia,2017-11-27,neutral,434
other,2017-11-30,positive,435
other,2017-12-04,positive,436
iberia,2017-11-09,positive,437
iberia,2017-12-24,negative,438
other,2017-12-02,negative,439
iberia,2017-12-02,negative,440
other,2017-12-27,negative,441
iberia,2017-12-27,negative,442
ryanair,2017-11-13,negative,443
iberia,2017-12-22,negative,444
other,2017-12-05,positive,445
other,2017-12-05,positive,446
iberia,2017-12-05,positive,447
other,2017-11-09,positive,448
other,2017-11-09,positive,449
other,2017-11-09,positive,450
other,2017-11-09,positive,451
iberia,2017-11-30,negative,452
ryanair,2017-11-30,negative,453
iberia,2017-11-26,negative,454
iberia,2017-12-19,negative,455
iberia,2017-11-25,neutral,456
other,2017-11-26,negative,457
iberia,2017-12-17,negative,458
other,2017-11-17,negative,459
other,2017-11-17,negative,460
iberia,2017-11-17,negative,461
iberia,2017-11-06,negative,462
other,2017-11-06,negative,463
iberia,2017-12-01,negative,464
other,2017-11-05,neutral,465
other,2017-11-05,neutral,466
iberia,2017-11-05,neutral,467
other,2017-11-23,positive,468
iberia,2017-11-23,positive,469
other,2017-12-17,positive,470
iberia,2017-12-02,negative,471
iberia,2017-11-23,positive,472
other,2018-01-08,negative,473
other,2018-01-08,negative,474
other,2017-12-01,neutral,475
iberia,2017-12-01,neutral,476
iberia,2017-12-14,negative,477
ryanair,2018-01-03,negative,478
iberia,2017-12-13,neutral,479
ryanair,2017-12-03,negative,480
other,2017-11-21,neutral,481
iberia,2017-11-23,negative,482
other,2017-12-31,negative,483
iberia,2017-12-31,negative,484
other,2017-12-29,neutral,485
other,2017-12-05,negative,486
other,2017-12-15,negative,487
other,2017-12-15,negative,488
other,2017-12-15,negative,489
other,2017-12-15,negative,490
iberia,2017-12-15,negative,491
iberia,2018-01-02,neutral,492
other,2018-01-02,neutral,493
iberia,2017-10-31,neutral,494
other,2017-10-31,neutral,495
other,2017-10-27,neutral,496
other,2017-10-27,neutral,497
other,2017-11-14,negative,498
vueling,2017-11-14,negative,499
other,2017-11-02,neutral,500
iberia,2017-11-02,neutral,501
other,2017-11-02,neutral,502
other,2017-11-02,neutral,503
other,2017-11-02,neutral,504
other,2017-11-02,neutral,505
other,2017-11-02,neutral,506
other,2017-11-02,neutral,507
other,2017-11-02,neutral,508
iberia,2017-11-22,negative,509
ryanair,2017-11-15,negative,510
ryanair,2017-11-15,negative,511
iberia,2017-11-27,neutral,512
iberia,2017-11-27,negative,513
iberia,2017-12-26,neutral,514
iberia,2017-11-15,negative,515
other,2017-12-14,negative,516
iberia,2017-12-14,negative,517
ryanair,2018-01-08,negative,518
other,2017-12-15,negative,519
iberia,2017-12-15,negative,520
aena,2017-12-15,negative,521
other,2017-11-16,neutral,522
other,2017-12-14,neutral,523
iberia,2017-12-14,neutral,524
other,2017-12-14,neutral,525
iberia,2017-12-14,neutral,526
aireuropa,2017-11-05,negative,527
iberia,2017-11-22,negative,528
iberia,2017-12-26,negative,529
iberia,2017-12-26,negative,530
other,2017-12-04,neutral,531
other,2017-11-22,negative,532
iberia,2017-12-25,negative,533
iberia,2017-12-25,negative,534
other,2017-12-27,negative,535
other,2017-12-27,negative,536
other,2017-11-28,neutral,537
other,2017-11-28,neutral,538
ryanair,2017-12-14,negative,539
iberia,2017-11-03,negative,540
ryanair,2017-11-28,negative,541
other,2017-10-30,negative,542
iberia,2017-10-30,negative,543
other,2017-11-21,negative,544
ryanair,2017-11-21,negative,545
other,2017-11-21,negative,546
other,2017-11-21,negative,547
other,2017-11-21,negative,548
other,2017-11-21,negative,549
other,2017-11-21,negative,550
other,2017-11-21,negative,551
iberia,2017-11-03,negative,552
iberia,2018-01-02,neutral,553
iberia,2017-12-14,negative,554
other,2017-12-27,positive,555
other,2017-12-27,positive,556
other,2017-12-27,positive,557
other,2017-12-27,positive,558
other,2017-12-27,positive,559
other,2017-12-27,positive,560
other,2017-12-27,positive,561
other,2017-11-30,negative,562
iberia,2017-12-13,negative,563
iberia,2017-11-22,negative,564
other,2017-11-24,neutral,565
other,2017-11-28,negative,566
iberia,2017-11-28,negative,567
other,2017-11-24,neutral,568
other,2017-11-24,neutral,569
iberia,2017-11-29,negative,570
ryanair,2017-12-19,neutral,571
other,2017-11-25,positive,572
iberia,2017-11-25,positive,573
aireuropa,2017-11-25,positive,574
iberia,2017-11-24,negative,575
iberia,2017-11-03,negative,576
iberia,2017-12-14,positive,577
iberia,2017-12-21,negative,578
iberia,2017-12-29,neutral,579
other,2017-12-28,negative,580
iberia,2017-12-28,negative,581
vueling,2017-12-28,negative,582
other,2017-11-20,neutral,583
ryanair,2017-11-16,negative,584
other,2017-12-05,negative,585
iberia,2017-12-31,negative,586
iberia,2017-12-19,negative,587
iberia,2017-12-19,negative,588
iberia,2017-12-27,negative,589
iberia,2017-12-27,negative,590
iberia,2017-12-23,negative,591
other,2017-10-26,negative,592
iberia,2017-10-26,negative,593
iberia,2017-11-27,neutral,594
iberia,2017-12-13,negative,595
iberia,2017-12-13,negative,596
iberia,2017-12-22,positive,597
other,2018-01-03,positive,598
iberia,2017-12-17,negative,599
iberia,2017-12-17,negative,600
iberia,2017-12-31,negative,601
other,2017-12-23,neutral,602
iberia,2017-12-23,neutral,603
iberia,2017-11-28,positive,604
other,2017-12-19,neutral,605
other,2017-12-22,negative,606
iberia,2017-12-22,negative,607
other,2017-12-22,negative,608
other,2018-01-04,neutral,609
other,2018-01-04,neutral,610
other,2018-01-04,neutral,611
iberia,2018-01-04,neutral,612
iberia,2017-11-04,positive,613
other,2017-12-26,negative,614
iberia,2017-12-26,negative,615
iberia,2017-11-23,negative,616
other,2017-11-22,negative,617
ryanair,2017-11-22,negative,618
vueling,2017-11-22,negative,619
ryanair,2017-11-30,neutral,620
iberia,2017-11-14,positive,621
iberia,2017-12-03,negative,622
other,2018-01-02,negative,623
other,2018-01-02,negative,624
other,2018-01-02,negative,625
iberia,2017-11-24,neutral,626
iberia,2017-12-01,negative,627
ryanair,2017-12-01,negative,628
ryanair,2017-10-27,negative,629
iberia,2017-11-25,neutral,630
other,2018-01-08,neutral,631
other,2018-01-08,neutral,632
other,2018-01-08,neutral,633
airnostrum,2018-01-08,neutral,634
aireuropa,2018-01-08,neutral,635
other,2018-01-08,neutral,636
other,2018-01-08,neutral,637
other,2018-01-08,neutral,638
other,2018-01-08,neutral,639
ryanair,2017-12-31,negative,640
ryanair,2017-12-31,negative,641
iberia,2017-11-26,negative,642
airnostrum,2017-11-26,negative,643
iberia,2017-10-27,negative,644
other,2017-10-27,negative,645
other,2017-10-27,negative,646
other,2017-12-19,negative,647
other,2017-12-19,negative,648
other,2017-12-19,negative,649
other,2017-12-19,negative,650
ryanair,2017-12-13,negative,651
ryanair,2017-12-31,negative,652
ryanair,2017-12-31,negative,653
ryanair,2017-12-31,negative,654
iberia,2017-12-22,negative,655
vueling,2017-12-28,negative,656
other,2017-12-28,negative,657
other,2017-12-28,negative,658
other,2017-12-15,negative,659
other,2017-12-15,negative,660
other,2017-12-15,negative,661
iberia,2017-10-31,neutral,662
other,2017-10-31,neutral,663
other,2017-10-31,neutral,664
iberia,2017-12-17,negative,665
iberia,2017-11-24,negative,666
other,2017-11-21,negative,667
ryanair,2017-11-21,negative,668
iberia,2017-11-14,neutral,669
other,2017-11-29,negative,670
other,2017-11-29,negative,671
iberia,2017-11-29,negative,672
iberia,2017-12-12,negative,673
iberia,2017-12-12,negative,674
iberia,2018-01-02,neutral,675
other,2017-11-13,negative,676
other,2017-11-13,negative,677
iberia,2017-11-22,negative,678
other,2018-01-02,neutral,679
other,2017-11-23,neutral,680
iberia,2017-11-23,neutral,681
iberia,2017-11-07,positive,682
other,2017-11-05,neutral,683
iberia,2017-11-05,neutral,684
iberia,2017-11-23,negative,685
iberia,2017-11-23,negative,686
iberia,2017-12-01,positive,687
other,2017-12-16,neutral,688
other,2017-12-16,neutral,689
other,2017-10-31,positive,690
iberia,2017-11-29,negative,691
iberia,2017-12-05,negative,692
iberia,2017-12-05,negative,693
ryanair,2018-01-08,negative,694
iberia,2017-12-22,negative,695
other,2017-12-22,negative,696
other,2018-01-08,neutral,697
other,2018-01-08,neutral,698
other,2018-01-08,neutral,699
other,2018-01-08,neutral,700
other,2018-01-08,neutral,701
other,2018-01-08,neutral,702
other,2018-01-08,neutral,703
other,2018-01-08,neutral,704
other,2018-01-08,neutral,705
other,2017-11-13,negative,706
iberia,2017-11-07,neutral,707
other,2017-11-29,positive,708
iberia,2017-11-29,positive,709
iberia,2017-11-23,neutral,710
other,2017-11-23,neutral,711
iberia,2017-12-23,negative,712
other,2017-12-23,negative,713
other,2017-12-23,negative,714
iberia,2017-12-23,negative,715
other,2017-12-27,negative,716
iberia,2017-12-27,positive,717
other,2017-12-27,positive,718
iberia,2017-12-26,negative,719
other,2017-11-21,negative,720
iberia,2017-11-14,negative,721
iberia,2017-12-30,negative,722
iberia,2017-12-18,negative,723
other,2017-11-04,negative,724
other,2017-11-04,negative,725
iberia,2017-12-24,neutral,726
iberia,2017-12-22,positive,727
ryanair,2017-11-21,negative,728
other,2017-11-28,neutral,729
other,2017-11-28,neutral,730
iberia,2017-11-02,positive,731
other,2017-11-02,positive,732
other,2017-11-20,neutral,733
iberia,2017-11-20,neutral,734
other,2017-12-22,negative,735
iberia,2017-11-14,neutral,736
iberia,2018-01-01,neutral,737
iberia,2017-10-26,negative,738
iberia,2017-11-27,neutral,739
other,2017-12-03,negative,740
other,2017-10-25,positive,741
iberia,2017-11-20,negative,742
iberia,2017-12-14,negative,743
iberia,2017-12-30,negative,744
iberia,2017-12-19,negative,745
vueling,2017-12-19,negative,746
other,2017-12-06,positive,747
other,2017-12-06,positive,748
other,2017-12-06,positive,749
iberia,2017-12-22,positive,750
iberia,2017-11-23,negative,751
iberia,2017-11-14,positive,752
iberia,2017-11-29,negative,753
iberia,2017-11-23,negative,754
iberia,2017-11-17,neutral,755
other,2018-01-02,positive,756
iberia,2017-12-31,negative,757
iberia,2017-12-28,neutral,758
iberia,2018-01-01,negative,759
iberia,2017-12-27,negative,760
other,2017-11-22,negative,761
other,2017-11-22,negative,762
iberia,2017-11-21,negative,763
iberia,2017-11-15,negative,764
iberia,2017-12-06,negative,765
other,2017-11-07,positive,766
airnostrum,2017-11-07,positive,767
iberia,2017-11-07,positive,768
other,2017-11-07,positive,769
tame,2017-11-07,positive,770
other,2017-11-07,positive,771
other,2017-11-07,positive,772
other,2017-11-07,positive,773
other,2017-11-07,positive,774
iberia,2017-12-18,negative,775
other,2017-11-27,positive,776
iberia,2017-11-04,positive,777
other,2017-11-04,positive,778
iberia,2017-11-15,negative,779
ryanair,2017-12-06,negative,780
iberia,2017-10-30,negative,781
ryanair,2017-11-23,negative,782
ryanair,2017-12-01,neutral,783
other,2017-12-27,negative,784
other,2017-12-27,negative,785
iberia,2017-12-01,neutral,786
other,2018-01-04,neutral,787
iberia,2017-12-29,neutral,788
iberia,2017-11-02,negative,789
other,2017-12-04,negative,790
other,2017-12-04,negative,791
other,2017-12-04,negative,792
other,2017-12-04,negative,793
other,2017-12-04,negative,794
iberia,2017-12-13,positive,795
iberia,2017-11-30,negative,796
iberia,2017-11-30,negative,797
iberia,2017-12-28,negative,798
iberia,2017-12-13,negative,799
other,2017-12-13,negative,800
iberia,2017-11-24,negative,801
other,2017-11-06,positive,802
other,2017-11-06,positive,803
other,2017-11-06,positive,804
other,2017-11-21,neutral,805
other,2017-11-21,neutral,806
other,2017-11-21,neutral,807
other,2017-11-15,negative,808
iberia,2017-12-01,negative,809
iberia,2017-12-01,negative,810
iberia,2017-11-28,negative,811
other,2018-01-04,positive,812
iberia,2018-01-04,positive,813
other,2017-11-14,neutral,814
iberia,2017-12-06,negative,815
ryanair,2018-01-08,negative,816
other,2017-11-30,negative,817
iberia,2017-12-13,negative,818
other,2017-12-17,negative,819
other,2017-12-17,negative,820
iberia,2017-12-04,negative,821
iberia,2017-12-22,negative,822
other,2017-12-22,negative,823
other,2018-01-03,positive,824
other,2018-01-03,positive,825
iberia,2018-01-03,positive,826
iberia,2018-01-03,positive,827
iberia,2017-12-01,negative,828
iberia,2017-12-19,negative,829
iberia,2017-12-27,neutral,830
airnostrum,2017-12-27,neutral,831
iberia,2017-11-21,positive,832
iberia,2017-11-21,neutral,833
other,2017-12-19,negative,834
other,2017-12-19,negative,835
iberia,2017-12-19,negative,836
iberia,2017-11-20,negative,837
other,2017-12-15,negative,838
other,2017-12-15,negative,839
iberia,2017-12-15,negative,840
iberia,2017-11-17,neutral,841
iberia,2017-11-15,positive,842
iberia,2017-12-21,neutral,843
iberia,2017-12-21,neutral,844
iberia,2017-11-17,negative,845
other,2017-11-07,negative,846
iberia,2017-11-07,negative,847
iberia,2017-12-04,negative,848
iberia,2017-12-18,neutral,849
iberia,2017-11-26,neutral,850
other,2017-12-22,neutral,851
iberia,2017-11-21,positive,852
other,2017-11-21,positive,853
other,2017-11-21,positive,854
other,2017-11-21,positive,855
other,2017-11-21,positive,856
other,2017-11-21,positive,857
other,2017-11-21,positive,858
other,2017-11-21,positive,859
other,2017-11-13,negative,860
iberia,2017-11-22,neutral,861
other,2017-11-30,negative,862
iberia,2017-11-30,negative,863
other,2017-12-19,negative,864
other,2017-12-19,negative,865
other,2017-12-19,negative,866
ryanair,2017-12-19,negative,867
iberia,2017-12-15,negative,868
iberia,2017-11-24,negative,869
other,2017-11-03,neutral,870
other,2017-11-03,neutral,871
other,2017-11-03,neutral,872
ryanair,2017-11-03,neutral,873
ryanair,2017-11-03,neutral,874
easyjet,2017-11-03,neutral,875
iberia,2017-11-03,neutral,876
other,2017-11-03,neutral,877
other,2017-12-16,neutral,878
other,2017-11-30,neutral,879
other,2017-11-30,neutral,880
ryanair,2017-11-30,neutral,881
ryanair,2017-11-30,neutral,882
iberia,2017-11-06,negative,883
iberia,2017-11-21,negative,884
iberia,2017-11-21,negative,885
other,2018-01-03,positive,886
other,2018-01-03,positive,887
iberia,2018-01-03,positive,888
iberia,2018-01-03,positive,889
other,2017-12-12,negative,890
iberia,2017-12-12,negative,891
iberia,2017-12-17,neutral,892
aeromexico,2017-12-21,negative,893
iberia,2017-12-21,negative,894
other,2017-11-16,neutral,895
iberia,2018-01-05,negative,896
iberia,2017-12-30,neutral,897
iberia,2017-12-30,neutral,898
iberia,2017-11-23,neutral,899
iberia,2017-11-17,negative,900
iberia,2017-11-17,negative,901
other,2017-11-17,negative,902
